GROUP_NAME,N,AVG_PROB,MEDIAN_PROB,POSITIVE_SHARE
first-line enlisted military supervisors,1108,0.15002066763944533,0.00019999999494757503,0.137184
postal service workers,5813,0.1441881641446248,9.999999747378752e-05,0.136934
architectural and engineering managers,216821,0.14515528407078815,9.999999747378752e-05,0.136435
designers,70495,0.14393066437749344,9.999999747378752e-05,0.135783
loan interviewers and clerks,6143,0.1409559982185676,9.999999747378752e-05,0.134625
first-line supervisors of building and grounds cleaning and maintenance workers,5335,0.1446714149525951,9.999999747378752e-05,0.134396
"engineering technologists and technicians, except drafters",107126,0.14123549155841938,9.999999747378752e-05,0.133842
"securities, commodities, and financial services sales agents",272133,0.14211220951670034,9.999999747378752e-05,0.133718
counter and rental clerks and parts salespersons,5282,0.1412552249355827,9.999999747378752e-05,0.133283
miscellaneous motor vehicle operators,8770,0.14045478877182418,9.999999747378752e-05,0.132725
financial examiners,2979,0.1416604562437097,9.999999747378752e-05,0.131923
transportation service attendants,2253,0.14046458026779496,9.999999747378752e-05,0.131824
drafters,28501,0.13823114246570384,9.999999747378752e-05,0.131083
laborers and material movers,23431,0.13510801048216636,9.999999747378752e-05,0.126926
supervisors of food preparation and serving workers,26223,0.13454248159229962,9.999999747378752e-05,0.125882
jewelers and precious stone and metal workers,1121,0.1367376445109662,9.999999747378752e-05,0.125781
first-line supervisors of construction trades and extraction workers,8536,0.13436506524985756,9.999999747378752e-05,0.124649
construction equipment operators,7478,0.13222401672519496,9.999999747378752e-05,0.124632
budget analysts,4913,0.12955977978392208,9.999999747378752e-05,0.124364
"tax examiners, collectors and preparers, and revenue agents",23337,0.12718577761347616,0.0,0.121310
"bookkeeping, accounting, and auditing clerks",34033,0.12483406957416221,0.0,0.117856
logisticians and project management specialists,64655,0.12480249605812796,9.999999747378752e-05,0.117748
first-line supervisors of transportation and material moving workers,26295,0.1263336564151635,9.999999747378752e-05,0.117589
miscellaneous computer occupations,553284,0.12540192933959174,9.999999747378752e-05,0.117479
brokerage clerks,2373,0.12298647268431681,0.00019999999494757503,0.117151
chemists and materials scientists,6369,0.1210841888658965,0.0,0.116502
"credit authorizers, checkers, and clerks",1074,0.12321489722631715,9.999999747378752e-05,0.116387
driver/sales workers and truck drivers,18720,0.12395781488730091,9.999999747378752e-05,0.116026
artists and related workers,127771,0.12170540637527491,9.999999747378752e-05,0.113962
"industrial engineers, including health and safety",113641,0.12112721527951303,9.999999747378752e-05,0.113295
"production, planning, and expediting clerks",7824,0.11848556982339574,9.999999747378752e-05,0.112091
miscellaneous assemblers and fabricators,1847,0.12095939343127525,9.999999747378752e-05,0.112074
"miscellaneous textile, apparel, and furnishings workers",1198,0.1157671951793459,9.999999747378752e-05,0.111018
computer support specialists,93473,0.1182203596583869,9.999999747378752e-05,0.110888
ship engineers,2012,0.12358479106239952,9.999999747378752e-05,0.110835
operations research analysts,5031,0.1172978134505189,9.999999747378752e-05,0.110117
"transportation, storage, and distribution managers",112089,0.11811078322407056,9.999999747378752e-05,0.109600
payroll and timekeeping clerks,12622,0.11555555363001707,0.0,0.108461
statistical assistants,1183,0.11276221419261316,0.0,0.107354
"shipping, receiving, and inventory clerks",7810,0.11314787417847075,9.999999747378752e-05,0.107170
computer and information analysts,71831,0.11648444941032551,9.999999747378752e-05,0.107015
first-line supervisors of production and operating workers,23646,0.11499177008670596,9.999999747378752e-05,0.106657
data scientists,178492,0.11215561405092303,9.999999747378752e-05,0.105713
"computer, automated teller, and office machine repairers",2902,0.11154365927705068,9.999999747378752e-05,0.104755
miscellaneous production workers,4373,0.11219371122010628,9.999999747378752e-05,0.104734
financial managers,251664,0.11092411089179122,9.999999747378752e-05,0.104175
"miscellaneous installation, maintenance, and repair workers",2769,0.11116959170187819,9.999999747378752e-05,0.103286
industrial production managers,51872,0.11237036535527631,9.999999747378752e-05,0.103158
cargo and freight agents,1745,0.10947249252605569,9.999999747378752e-05,0.103152
"software and web developers, programmers, and testers",581183,0.10907706246634394,9.999999747378752e-05,0.102747
"chemical processing machine setters, operators, and tenders",1459,0.10856113765671527,0.0,0.101439
bill and account collectors,13679,0.10687202257683816,0.0,0.100885
automotive technicians and repairers,1454,0.10713762006108848,9.999999747378752e-05,0.100413
miscellaneous engineers,174769,0.1052808396806395,9.999999747378752e-05,0.099154
"first-line supervisors of mechanics, installers, and repairers",5680,0.1055932744351863,9.999999747378752e-05,0.097887
credit analysts,6899,0.10094671658985838,0.0,0.097260
aerospace engineers,10645,0.10252525110715315,0.0,0.096477
procurement clerks,11960,0.10126493283223742,9.999999747378752e-05,0.096154
mechanical engineers,53805,0.10127702981057113,0.0,0.095735
industrial truck and tractor operators,2112,0.10329043542721496,9.999999747378752e-05,0.095170
billing and posting clerks,25104,0.09993407798247138,0.0,0.094845
marine engineers and naval architects,4367,0.10144190506967526,9.999999747378752e-05,0.093657
photographic process workers and processing machine operators,1478,0.10188897129418056,0.0,0.093369
carpenters,4640,0.10080327564068567,9.999999747378752e-05,0.092672
property appraisers and assessors,2002,0.0969880616837102,0.0,0.091908
chemical engineers,18260,0.09726303929696745,0.0,0.091128
database and network administrators and architects,100810,0.09743259579997443,9.999999747378752e-05,0.090924
"heating, air conditioning, and refrigeration mechanics and installers",2578,0.09698681141240703,0.0,0.090768
buyers and purchasing agents,11941,0.09603227521622705,0.0,0.090277
"industrial machinery installation, repair, and maintenance workers",1132,0.09611934636367399,9.999999747378752e-05,0.089223
materials engineers,4758,0.09608499359147298,0.0,0.088903
"broadcast, sound, and lighting technicians",15044,0.09410507829750528,0.0,0.088407
"television, video, and film camera operators and editors",14105,0.09458440961936476,0.0,0.088337
"surveyors, cartographers, and photogrammetrists",2968,0.09547092296215998,9.999999747378752e-05,0.088275
"weighers, measurers, checkers, and samplers, recordkeeping",2047,0.09216712224581154,0.0,0.087445
computer hardware engineers,12864,0.09193755429872799,9.999999747378752e-05,0.086987
"inspectors, testers, sorters, samplers, and weighers",4661,0.09308944410044244,9.999999747378752e-05,0.085818
radio and telecommunications equipment installers and repairers,2393,0.09047150002975565,9.999999747378752e-05,0.085249
purchasing managers,28405,0.09183637368246324,9.999999747378752e-05,0.085091
actuaries,7678,0.0886723232924723,0.0,0.084657
stationary engineers and boiler operators,1984,0.09389067537123934,9.999999747378752e-05,0.084173
construction managers,30399,0.09107688067186079,9.999999747378752e-05,0.083621
accountants and auditors,139482,0.08731585633326946,0.0,0.082742
"miscellaneous electrical and electronic equipment mechanics, installers, and repairers",6486,0.0895300800026291,0.0,0.082177
"maintenance and repair workers, general",11568,0.0880834283231869,0.0,0.081259
"meter readers, utilities",7053,0.08798864298938262,0.0,0.081242
sales engineers,18433,0.08798639921614615,9.999999747378752e-05,0.081159
electrical and electronics engineers,34661,0.08599845344042514,0.0,0.080407
