OCCUPATION,COMPANY_TYPE,N,POSITIVE_SHARE
market research analysts and marketing specialists,public_subsidiary,2657,0.132857
budget analysts,government,2459,0.141114
logisticians and project management specialists,government,2927,0.170140
credit counselors and loan officers,nonprofit,5161,0.247045
secretaries and administrative assistants,private,120522,0.182763
"physical sciences teachers, postsecondary",private,6532,0.288885
social science research assistants,nonprofit,3100,0.264194
recreation and fitness workers,private,10390,0.421463
emergency medical technicians and paramedics,private,4438,0.340469
postal service workers,nonprofit,4308,0.140204
miscellaneous health technologists and technicians,private,12021,0.334165
laborers and material movers,private,11599,0.120355
"industrial engineers, including health and safety",public,39298,0.100489
human resources managers,nonprofit,13630,0.332722
"securities, commodities, and financial services sales agents",public,48675,0.135223
pharmacists,private,8259,0.459378
first-line supervisors of transportation and material moving workers,private,16687,0.110745
general and operations managers,nonprofit,22540,0.368678
"hotel, motel, and resort desk clerks",private,8243,0.191435
"transportation, storage, and distribution managers",private,60465,0.102803
"physical sciences teachers, postsecondary",educational,26622,0.275749
clinical laboratory technologists and technicians,private,4140,0.272222
preschool and kindergarten teachers,private,26794,0.380421
"miscellaneous life, physical, and social science technicians",private,4895,0.126047
miscellaneous personal appearance workers,private,3878,0.240330
credit counselors and loan officers,public,12382,0.154175
data scientists,educational,4116,0.191205
electricians,private,5292,0.077664
miscellaneous postsecondary teachers,private,6024,0.328187
emergency medical technicians and paramedics,nonprofit,3143,0.367165
fundraisers,nonprofit,4276,0.483863
pharmacists,public_subsidiary,2591,0.464685
actuaries,private,3968,0.089214
sales engineers,public,4280,0.088785
civil engineers,government,6728,0.161564
physicians,educational,3747,0.377102
cost estimators,private,8110,0.066338
"claims adjusters, appraisers, examiners, and investigators",public,3904,0.145236
"mining and geological engineers, including mining safety engineers",private,4396,0.126251
miscellaneous healthcare diagnosing or treating practitioners,nonprofit,3080,0.413961
therapists,educational,3055,0.447791
aerospace engineers,private,4052,0.100691
"math and computer science teachers, postsecondary",educational,29543,0.278171
"software and web developers, programmers, and testers",government,9330,0.102036
dietitians and nutritionists,private,7563,0.558112
financial managers,public_subsidiary,12251,0.091666
miscellaneous community and social service specialists,educational,2050,0.440000
compensation and benefits managers,public,8636,0.216883
first-line supervisors of sales workers,public,12342,0.167396
medical and health services managers,public,8270,0.337969
"industrial engineers, including health and safety",public_subsidiary,8657,0.093681
"musicians, singers, and related workers",private,13431,0.158514
"first-line supervisors of mechanics, installers, and repairers",private,3193,0.090824
driver/sales workers and truck drivers,public,5463,0.136372
compensation and benefits managers,public_subsidiary,2316,0.224957
fast food and counter workers,public,3644,0.229144
logisticians and project management specialists,public_subsidiary,3301,0.094214
social and community service managers,private,4270,0.406089
travel agents,private,4252,0.181091
compensation and benefits managers,nonprofit,3165,0.237283
compliance officers,government,2870,0.219512
passenger vehicle drivers,private,2902,0.174707
"actors, producers, and directors",public,4185,0.133572
conservation scientists and foresters,private,3115,0.232745
miscellaneous office and administrative support workers,private,2604,0.227343
elementary and middle school teachers,government,2579,0.431950
public relations and fundraising managers,government,3705,0.313360
artists and related workers,public_subsidiary,4265,0.091208
therapists,public,2456,0.415309
computer and information analysts,educational,2349,0.152831
first-line supervisors of sales workers,public_subsidiary,3571,0.146178
social workers,government,4083,0.500612
natural sciences managers,private,17796,0.247584
administrative services and facilities managers,private,30862,0.165932
computer and information systems managers,public,79499,0.102152
secretaries and administrative assistants,government,17465,0.227025
human resources workers,private,94775,0.252187
secretaries and administrative assistants,nonprofit,27118,0.267129
marketing and sales managers,public,102268,0.134861
therapists,private,38138,0.482694
"human resources assistants, except payroll and timekeeping",private,5164,0.250581
registered nurses,nonprofit,98584,0.449880
"agents and business managers of artists, performers, and athletes",private,3046,0.233093
financial managers,public,44364,0.098864
chemists and materials scientists,private,3148,0.109911
data scientists,private,79168,0.104727
lodging managers,private,6922,0.153135
"transportation, storage, and distribution managers",public,28422,0.098902
childcare workers,private,2951,0.368350
"meter readers, utilities",private,3573,0.071928
training and development specialists,private,9222,0.302863
food service managers,private,15086,0.135158
"maintenance and repair workers, general",private,6037,0.075534
health practitioner support technologists and technicians,public_subsidiary,3792,0.321466
"maintenance and repair workers, general",public,2566,0.074435
designers,public_subsidiary,3227,0.140998
instructional coordinators,educational,3088,0.486075
"hosts and hostesses, restaurant, lounge, and coffee shop",private,2966,0.227242
"television, video, and film camera operators and editors",private,6137,0.080658
firefighters,government,2153,0.237343
