OCCUPATION,SEX,N,AVG_PROB,POSITIVE_SHARE
"transportation, storage, and distribution managers",female,33240,0.1436169581886915,0.134898
driver/sales workers and truck drivers,male,13454,0.11181164688468527,0.103984
drafters,male,16099,0.10937396707069119,0.102801
waiters and waitresses,male,6700,0.16004991015359527,0.152537
mechanical engineers,female,6110,0.16482330568419584,0.158920
"engineering technologists and technicians, except drafters",male,62244,0.11562649550521796,0.108717
"industrial engineers, including health and safety",male,70700,0.10577221058301318,0.098119
police officers,male,10464,0.1990208136286053,0.189411
"musicians, singers, and related workers",male,19113,0.15599708537435367,0.148381
medical records specialists,female,7672,0.20052426946073976,0.192779
miscellaneous social scientists and related workers,female,8368,0.30894717891048906,0.298757
supervisors of food preparation and serving workers,male,16029,0.11925693416470658,0.111111
massage therapists,female,6388,0.45577864659938544,0.442862
miscellaneous sales and related workers,female,5759,0.35112156529478217,0.340858
dietitians and nutritionists,female,14756,0.5746935538643761,0.562957
"claims adjusters, appraisers, examiners, and investigators",male,7108,0.13038027543394387,0.122116
retail salespersons,female,8517,0.21115474874940057,0.202771
first-line supervisors of construction trades and extraction workers,male,6520,0.11122751504246224,0.101534
medical and health services managers,male,24088,0.37739648683424826,0.366614
registered nurses,female,151255,0.4643642939012699,0.455086
logisticians and project management specialists,male,28628,0.1018941558847571,0.095291
credit counselors and loan officers,male,38007,0.22479881547963385,0.211277
architectural and engineering managers,male,111689,0.11899661631460383,0.110745
"software and web developers, programmers, and testers",female,106171,0.14672731318665755,0.139596
lawyers and judicial law clerks,male,88296,0.16765091703272833,0.158761
"securities, commodities, and financial services sales agents",female,100302,0.15916626448736992,0.150994
first-line supervisors of office and administrative support workers,female,25270,0.21455209292199517,0.205184
designers,male,22847,0.11870489763511673,0.111437
sales engineers,male,14372,0.08087133993823384,0.073963
artists and related workers,female,55912,0.14029403861986028,0.132154
financial managers,female,108746,0.11681256020142865,0.110064
"athletes, coaches, umpires, and related workers",female,8665,0.3874615797557202,0.378419
emergency medical technicians and paramedics,male,5596,0.31957678601237466,0.310400
natural sciences managers,male,15405,0.1962427260401265,0.186043
cost estimators,male,7265,0.06580664823784284,0.060427
miscellaneous business operations specialists,female,15943,0.22137989030679053,0.210374
"bookkeeping, accounting, and auditing clerks",male,9751,0.10990602993050101,0.104502
"arts, communications, history, and humanities teachers, postsecondary",female,24970,0.41169334272506025,0.399800
miscellaneous engineers,female,24536,0.1569197461531399,0.150310
photographers,female,26608,0.17926543486447424,0.168521
miscellaneous health technologists and technicians,female,22049,0.34682284814990333,0.336977
diagnostic related technologists and technicians,female,10569,0.31442398444135117,0.303908
pharmacists,male,7656,0.4215317774300618,0.412226
"tax examiners, collectors and preparers, and revenue agents",male,8964,0.11296854053778695,0.107430
teaching assistants,male,9430,0.27093308512736847,0.261930
miscellaneous community and social service specialists,male,5589,0.3773670949326547,0.366076
civil engineers,female,7940,0.216498966420343,0.207935
"physical sciences teachers, postsecondary",female,14059,0.3815562263153086,0.367878
"news analysts, reporters and journalists",male,7748,0.1777161715550945,0.167785
first-line supervisors of transportation and material moving workers,female,6396,0.17329455884330658,0.163227
"life sciences teachers, postsecondary",male,5056,0.2565082667375446,0.246242
compensation and benefits managers,female,21837,0.22322334538546268,0.211888
social science research assistants,male,9655,0.20609064693472104,0.196064
first-line supervisors of sales workers,female,19492,0.1896951206480574,0.179561
compliance officers,male,9658,0.1298846963604012,0.120936
elementary and middle school teachers,female,40559,0.4536703798350515,0.443897
financial analysts and advisors,female,60472,0.2109604489260656,0.201283
marketing and sales managers,female,233625,0.17970930429106086,0.170324
data scientists,male,86325,0.10526871803879863,0.098674
market research analysts and marketing specialists,female,43852,0.18907963790503857,0.179490
advertising and promotions managers,female,48278,0.18737714243291761,0.177741
"musicians, singers, and related workers",female,10835,0.2235958831543385,0.213383
laborers and material movers,female,6577,0.15530951770195872,0.146267
buyers and purchasing agents,male,5346,0.09133503539233075,0.085110
data scientists,female,50958,0.13827761067729585,0.131579
first-line supervisors of office and administrative support workers,male,12994,0.15644822968267813,0.145837
"physical sciences teachers, postsecondary",male,15222,0.22692655324745856,0.214886
computer and information analysts,female,18248,0.13933161418248202,0.131028
aerospace engineers,male,7761,0.09685793052928199,0.090066
childcare workers,female,6907,0.387449847097911,0.376430
insurance sales agents,female,14097,0.3011215924414441,0.290771
paralegals and legal assistants,male,6532,0.1788430185586953,0.171310
computer hardware engineers,male,8701,0.0868574070942931,0.082174
"life sciences teachers, postsecondary",female,7269,0.38287907455901543,0.372954
