GROUP_NAME,N,AVG_PROB,POSITIVE_SHARE
Dallas Institute of Funeral Service,520,0.3142122410494251,0.303835
University of New Mexico,43560,0.2852243536441879,0.274004
California Lutheran University,12126,0.27570101768626176,0.262925
Pittsburgh Institute of Mortuary Science Inc,978,0.26909157194907934,0.264182
College For Financial Planning,10948,0.3922987839352446,0.369909
Griffin Business College,575,0.16100421740684767,0.151020
Redstone College,841,0.12573952832035218,0.116905
University of Florida-Online,531,0.2614390280461302,0.251256
Texas Tech University,92534,0.21724056224409974,0.207435
Southern Technical College,2016,0.18194136406658934,0.175790
Texas Vocational Schools Inc,1103,0.16325185742796794,0.154799
Fortis College-Centerville,747,0.23647909921402965,0.229368
Kutztown University of Pennsylvania,21218,0.2335932996759433,0.224163
University of Wisconsin-Milwaukee,73025,0.24840803299521777,0.237376
Sum Bible College and Theological Seminary,1203,0.3625037837273279,0.352590
Ccim Institute,1966,0.1795230925073169,0.168660
Evolve Security Academy,751,0.1946233001765244,0.182832
Cet-Santa Maria,1074,0.17756642758818128,0.162291
Fort Myers Technical College,899,0.21376499476738292,0.203282
Cass Career Center,1918,0.250402265718407,0.237960
American College of Financial Services,25385,0.34259523016861665,0.324162
Modern Mystery School,743,0.5642614865435749,0.542670
Vanderbilt University,55851,0.29086607345829957,0.280303
Andover College,3756,0.2384301824616243,0.227009
Human Resources Certification Institute (HRCI),11160,0.2704061597227185,0.249046
Cecil College,2832,0.22524334219041073,0.216022
Smith College,15701,0.3795412320772704,0.366217
Jewish Theological Seminary of America,1380,0.4809532304342816,0.457884
State Technical Institute,2169,0.10539898261051997,0.097589
College of Engineering,164475,0.08975381712145322,0.082531
