OCCUPATION,RACE,N,AVG_PROB,POSITIVE_SHARE
cooks,White,8426,0.16413209087215308,0.156183
database and network administrators and architects,White,63909,0.10280189155788455,0.096387
"actors, producers, and directors",White,62018,0.24185377409814413,0.231239
miscellaneous managers,White,115849,0.20129126837701528,0.190351
elementary and middle school teachers,Hispanic,5936,0.4529549848266837,0.444239
"life sciences teachers, postsecondary",White,9320,0.33649885104562643,0.325858
"engineering technologists and technicians, except drafters",Asian,17988,0.10726546570651072,0.101623
general and operations managers,Black,37946,0.21767415759776032,0.206451
real estate brokers and sales agents,Hispanic,32149,0.2616524083376399,0.248748
artists and related workers,Asian,10478,0.12395403678956703,0.115957
"engineering technologists and technicians, except drafters",White,68654,0.14577255773859593,0.138113
electrical and electronics engineers,Asian,6582,0.07298119087048782,0.068216
environmental scientists and geoscientists,White,9501,0.19509290577134722,0.185138
driver/sales workers and truck drivers,White,12334,0.12580159693296247,0.117561
miscellaneous sales and related workers,White,6428,0.3346691496650655,0.324207
medical and health services managers,Asian,7447,0.4002453192203321,0.389687
personal service managers,White,6586,0.47343812524901246,0.460674
fundraisers,White,6286,0.4329355858463522,0.419026
financial analysts and advisors,Asian,21298,0.12401987480198094,0.116959
miscellaneous healthcare diagnosing or treating practitioners,White,14739,0.4885642367375157,0.477441
"math and computer science teachers, postsecondary",Asian,7120,0.21476939549331925,0.204635
"musicians, singers, and related workers",White,26186,0.17807443243950027,0.169098
first-line supervisors of sales workers,White,31542,0.17449066924077952,0.164891
public relations specialists,White,25681,0.23934117002605526,0.228613
telemarketers,White,7817,0.18907290479963823,0.180248
photographers,Hispanic,5798,0.1378407205543165,0.128493
miscellaneous personal appearance workers,White,6318,0.24712215823374298,0.235676
miscellaneous healthcare support occupations,Black,7410,0.33838893295312256,0.329690
